127.0.0.1 - - [26/Oct/2017:10:20:08 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Oct/2017:10:20:10 +0530] "GET /InventoryManagementSystem/ HTTP/1.1" 500 3558
127.0.0.1 - - [26/Oct/2017:10:22:20 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:21 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:21 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:21 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:21 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:21 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:23 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:23 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:24 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:24 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:24 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:24 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:47 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:47 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:47 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:47 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:47 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:47 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:47 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:47 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:47 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:47 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:47 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:47 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:48 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:48 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:48 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:48 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:48 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:48 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:48 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:48 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:48 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:48 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:49 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:49 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:50 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:50 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:50 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:50 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:50 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:22:50 +0530] "-" 400 -
127.0.0.1 - - [26/Oct/2017:10:23:00 +0530] "-" 400 -
0:0:0:0:0:0:0:1 - - [26/Oct/2017:10:25:09 +0530] "GET /InventoryManagementSystem/ HTTP/1.1" 404 949
